Class,Feature,B (β),SE,Wald χ²,p-value,CI Lower (95%),CI Upper (95%)
Dark minimal techno,Spectral flux low,0.37105384448430256,0.1122861653867385,10.919968102598268,0.0009513324728503002,0.15097296032629512,0.59113472864231
Dark minimal techno,Spectral flux middle,-0.13990898953298694,0.22560151127741013,0.384598185340163,0.5351525808140758,-0.5820879516367108,0.30226997257073684
Dark minimal techno,Spectral flux high,-1.1871219188839137,0.24865857683077183,22.79206948671158,1.8050904304033007e-06,-1.6744927294722265,-0.6997511082956009
Psytrance,Loudness,0.6807845454768207,0.192907588367973,12.454341013960017,0.00041702147899132794,0.30268567227559356,1.0588834186780478
Psytrance,Dissonance,1.7923580640936563,0.20280541932990637,78.10708614863546,9.760318590273567e-19,1.3948594422070397,2.189856685980273
Psytrance,Dynamic complexity,-0.39105884487530274,0.18088431583479728,4.673932144393137,0.030623735873007197,-0.7455921039115054,-0.036525585839100094
Psytrance,Pitch salience,0.041052769162958566,0.26660128091438795,0.023711577668761606,0.8776210572807543,-0.4814857414292418,0.5635912797551589
Psytrance,Spectral centroid,0.16496929597020485,0.16528611630307424,0.9961700752678718,0.3182390155836295,-0.15899149198382065,0.4889300839242303
Psytrance,Spectral complexity,0.5492070641865803,0.3199688055291332,2.9461642096391887,0.08608165071736647,-0.0779317946505208,1.1763459230236815
Psytrance,Spectral decrease,-0.18051715774272778,0.24197158064122756,0.5565552078067608,0.45565154105272987,-0.6547814557995338,0.2937471403140782
Psytrance,Spectral energyband high,0.14869387326044964,1.1838871272771117,0.015774861391119527,0.9000501342534224,-2.171724896202689,2.469112642723588
Psytrance,Spectral energyband low,0.5580079332423904,0.19192728330073971,8.452930822712451,0.003644556517089951,0.18183045797294056,0.9341854085118402
Psytrance,Spectral energyband middle,-0.6218508343896764,1.2020626631286695,0.26761979088967824,0.6049329240857254,-2.9778936541218686,1.734191985342516
Psytrance,Spectral entropy,-1.8000307063417103,0.3829884875662446,22.089627298294435,2.602120072928119e-06,-2.5506881419715497,-1.0493732707118708
Psytrance,Spectral kurtosis,0.22198656967103497,0.16826926781952123,1.7403788235610695,0.18709083445283317,-0.10782119525522665,0.5517943345972967
Psytrance,Spectral rolloff,-0.2645709412276146,0.32855085886471047,0.6484538469929534,0.42066601253609104,-0.9085306246024472,0.37938874214721796
Psytrance,Spectral skewness,0.045950172807181035,0.3873340608666712,0.014073526001964518,0.90556699692441,-0.7132245864914946,0.8051249321058567
Psytrance,Spectral spread,0.8354750845842699,0.2566006442893515,10.601114394569336,0.001130195199216789,0.332537821777141,1.3384123473913987
Psytrance,Zerocr,0.3921940438875087,0.38287924657013295,1.0492484455436288,0.3056802400956007,-0.3582492793899518,1.1426373671649692
Psytrance,Mfcc1,1.812029661413047,0.39739618615205025,20.791375174912613,5.121308031273148e-06,1.0331331365550287,2.5909261862710657
Psytrance,Mfcc2,0.5399021252620152,0.2665423737878847,4.10296253846002,0.042808141452156646,0.01747907263776116,1.0623251778862692
Psytrance,Mfcc3,-0.5431268132331286,0.19496690048650242,7.760339342508229,0.005340592559867986,-0.9252619381866733,-0.16099168827958388
Psytrance,Mfcc4,0.10918318771871946,0.16348113715382734,0.44604249844530236,0.5042203249217517,-0.21123984110278213,0.429606216540221
Psytrance,Mfcc5,-0.3337856006974159,0.12112674077370701,7.593729659275356,0.0058571651681664505,-0.5711940126138817,-0.09637718878095017
Psytrance,Bpm,0.4473483445631077,0.061037383507831736,53.71552840083786,2.317244936194436e-13,0.3277150728877575,0.5669816162384579
Psytrance,Onset rate,0.7571836073951539,0.07305791330947568,107.41572869045324,3.6093078604936957e-25,0.6139900973085816,0.9003771174817262
Psytrance,Chords changes rate,0.13395868587914908,0.07134455114575722,3.525495275456526,0.06043176747470194,-0.005876634366535072,0.27379400612483323
Psytrance,Chords number rate,-0.029771146148889538,0.07225464273267505,0.16976947024822403,0.6803167680492505,-0.17139024590493265,0.11184795360715358
Psytrance,Key scale,-0.16869688799177185,0.05457369267651236,9.555368945019797,0.0019936543821116076,-0.27566132563773604,-0.06173245034580763
Psytrance,Pulse clarity low,0.42062336667764566,0.17289057042763656,5.918943248593807,0.014978939966650692,0.08175784863947799,0.7594888847158133
Psytrance,Pulse clarity middle,0.2669209648615289,0.08774248445648389,9.254341407172792,0.0023493780877700877,0.09494569532682046,0.4388962343962373
Psytrance,Pulse clarity high,0.181885475443628,0.16976696386892753,1.1478619920325406,0.28399715715537804,-0.15085777373946996,0.5146287246267259
Psytrance,Attack slope low,-0.4676887482839912,0.09848995151553576,22.549140681646897,2.048361366953078e-06,-0.6607290532544413,-0.2746484433135411
Psytrance,Attack slope middle,-0.05732233518952851,0.20167931069429998,0.08078394394111786,0.7762378321356906,-0.45261378415035647,0.33796911377129946
Psytrance,Attack slope high,-0.7284399111662622,0.21595953944708876,11.377390914398623,0.00074343469046878,-1.1517206084825562,-0.3051592138499682
Psytrance,Spectral flatness low,0.3186814485397016,0.249291118299505,1.6341802348482213,0.20112583691468308,-0.16992914332732822,0.8072920404067314
Psytrance,Spectral flatness middle,-0.15480862469991413,0.22905120075516586,0.4567990154990799,0.4991237695100904,-0.6037489781800391,0.29413172878021093
Psytrance,Spectral flatness high,0.16995736415266247,0.11663959340875173,2.123185697346447,0.1450844894032974,-0.05865623892849092,0.39857096723381585
Psytrance,Attack time low,-0.4468248114478633,0.12902983868735107,11.992072705943341,0.0005342733340566427,-0.6997232952750714,-0.1939263276206552
Psytrance,Attack time middle,-0.2926317346424365,0.16340279592191492,3.207184001061981,0.07331556404850449,-0.6129012146493897,0.02763774536451674
Psytrance,Attack time high,-0.0091266436754972,0.08942416562209769,0.010416274031946744,0.9187089322086599,-0.18439800829480868,0.16614472094381427
Psytrance,Spectral flux low,1.5431247828548444,0.1275535052225702,146.35827996722185,1.0839679614590626e-33,1.2931199126186068,1.793129653091082
Psytrance,Spectral flux middle,0.16455489167772006,0.2285048217238255,0.5185980228366912,0.47144033897257054,-0.2833145589009779,0.6124243422564181
Psytrance,Spectral flux high,-0.5757520499941758,0.2562850725297916,5.0468960942664385,0.024670093661943813,-1.0780707921525674,-0.07343330783578428
Progressive house,Loudness,-0.11615680099224858,0.05024136108083926,5.345231180752924,0.02077902791362073,-0.2146298687106935,-0.01768373327380364
