Class,Feature,B (β),SE,Wald χ²,p-value
Psytrance,Pitch salience,-0.05523529238915987,7.309026938734189,5.7110266856861804e-05,0.9939703372427497
Psytrance,Spectral centroid,-0.052833070886220655,2.8153196986999824,0.0003521731734627086,0.9850275556917506
Psytrance,Spectral complexity,0.2612672591632928,5.999021059366431,0.0018967461254234812,0.9652617936530196
Psytrance,Spectral decrease,0.6281820879555712,4.69271877271382,0.017919341272059946,0.8935107948951008
Psytrance,Spectral energyband high,-0.036647110830015914,18.978036973524862,3.7288671117636106e-06,0.9984592639482162
Psytrance,Spectral energyband low,-0.24315364232020936,3.355856660943642,0.005249945003991501,0.9422386190470419
Psytrance,Spectral energyband middle,-0.15149490866669577,19.839660386196787,5.830792787764433e-05,0.9939074423827532
Psytrance,Spectral entropy,0.3495196590822549,9.614744383500886,0.0013215017145789647,0.9710013165053715
Psytrance,Spectral kurtosis,-0.02129151982790635,8.170175871349901,6.791262478692324e-06,0.9979207111345326
Psytrance,Spectral rolloff,-0.25716225965196093,6.3016782825139765,0.0016653365405188837,0.9674485349684246
Psytrance,Spectral skewness,0.01634472832192834,10.882427028304667,2.2558171032789703e-06,0.9988016274824016
Psytrance,Spectral spread,0.1201418935461433,4.747700511819977,0.000640357225069738,0.9798114619900213
Psytrance,Zerocr,0.04194388722511611,5.249011356177548,6.385315038113913e-05,0.9936243186356667
Psytrance,Mfcc1,0.6300041470410597,7.539466161803347,0.006982414456067167,0.933405600895357
Psytrance,Mfcc2,-0.15087749293508917,5.039269453172996,0.0008964245790692991,0.9761146253369837
Psytrance,Mfcc3,-0.4583448949020575,3.9848087817574736,0.013230304060973953,0.90842684504711
Psytrance,Mfcc4,-0.024219637598786103,2.4800505202645913,9.537053641636951e-05,0.9922081556038672
Psytrance,Mfcc5,0.32374157735039144,2.0847083483789763,0.024116059439811714,0.8765899694040541
Psytrance,Onset rate,0.7639802211329751,1.2828431858107279,0.35466398299370067,0.5514847624991037
Psytrance,Chords changes rate,0.3142508888719353,1.1023182083611651,0.08127164813581353,0.7755814524968491
Psytrance,Chords number rate,0.32492171167872186,1.256530064229913,0.06686697807474765,0.7959543003575601
Psytrance,Key scale,0.10416985182671432,0.8606726142424992,0.014649004894262227,0.9036648388426235
Psytrance,Pulse clarity low,0.1833649753274393,2.5226941873061675,0.005283279123188846,0.9420558551960649
Psytrance,Pulse clarity middle,0.716575190349826,1.4618476482124525,0.2402809324534273,0.6240032841617738
Psytrance,Pulse clarity high,0.13927658037193086,2.5392926870310677,0.003008365962682582,0.9562591029391235
Psytrance,Attack slope low,-0.3162552758360008,1.9946567685602885,0.02513849122342898,0.8740224586907626
Psytrance,Attack slope middle,0.2673748154709855,3.4532261036211676,0.005995024542558104,0.9382834297462272
Psytrance,Attack slope high,0.11002296544149306,3.613968708592607,0.0009268253774602349,0.9757131081927786
Psytrance,Spectral flatness low,-0.11746276274775448,6.569317130917252,0.0003197127581385954,0.9857341746132305
Psytrance,Spectral flatness middle,-0.1554054140238112,5.582122032598921,0.000775056988228458,0.9777898862871158
Psytrance,Spectral flatness high,0.3614304913469434,1.7957664987149673,0.04050884361841066,0.8404889533234069
Psytrance,Attack time low,0.04791406085183542,1.5730890296443938,0.0009277252038627144,0.9757013249965075
Psytrance,Attack time middle,-0.3006542806684343,4.227007635279172,0.005059047052857762,0.9432966969031459
Psytrance,Attack time high,-0.4630173954614002,2.089939166535859,0.04908257348170805,0.8246674230061877
Psytrance,Spectral flux low,0.5451943576133481,1.9866691924591646,0.07530981673116376,0.7837570024056812
Psytrance,Spectral flux middle,0.1864109242737552,5.0948314428346295,0.001338699431021675,0.9708133190145611
Psytrance,Spectral flux high,-0.2198330723789716,5.107337129222077,0.0018526654697200518,0.9656675749040435
Psytrance,Bpm,1.6110219302295408,2.1291874398367243,0.572499502373225,0.44926738677440015
